text,user,created_at
Finally my dream podcast … chatting about nothing but my favourite films for an hour. Have a listen https://t.co/QUkKphyG9h,example,2023-01-25 20:35:33+00:00
"RT @TriptoMoviesPod: EPISODE 18 IS HERE!🍿

🎙️ @Alex_Zane takes the multi-platinum music artist, @Example, on his dream trip to the movies!…",example,2023-01-25 20:34:47+00:00
"RT @example: ‘Dead In The Eye’ - OFFICIAL VIDEO has landed …

Whiney, P Money &amp; Example 

Full vid: https://t.co/ZvajbubeYI https://t.co/n3…",example,2022-09-11 11:59:33+00:00
Final official video coming in next few weeks for this one … https://t.co/4ruZ4fLNOV,example,2022-09-10 10:04:30+00:00
"‘Dead In The Eye’ - OFFICIAL VIDEO has landed …

Whiney, P Money &amp; Example 

Full vid: https://t.co/ZvajbubeYI https://t.co/n3g9RQ8o0o",example,2022-09-10 09:53:23+00:00
"RT @example: Bringing my old man out on stage at @VictoriousFest … 30,000 at 1:30pm. Thank you all so much for raving with us 

Just got to…",example,2022-08-31 11:36:31+00:00
Victorious Festival … felt like the whole of Pompey came out for this one at 1pm on a Sunday https://t.co/dycvfE8S4o,example,2022-08-31 11:36:06+00:00
Performing this tonight for the first time 👀👀👀 https://t.co/QoNKzrJ0EA,example,2022-08-28 15:40:24+00:00
"RT @PaulSwampyMarsh: Well..... @example just won @VictoriousFest. Anybody that was there will tell you the same. Amazing!

@ExpressFM #Port…",example,2022-08-28 15:38:42+00:00
Incredible crowd https://t.co/Uq6UP24IDT,example,2022-08-28 15:38:06+00:00
"Bringing my old man out on stage at @VictoriousFest … 30,000 at 1:30pm. Thank you all so much for raving with us 

Just got to Creamfields 🥰 see you lot soon https://t.co/n6pT9gkQGS",example,2022-08-28 15:37:57+00:00
"Last day of summer festival season today … 

@VictoriousFest Castle Stage 1pm

@Creamfields Try This For Example Stage 6:30pm (+ special guests)

Back to Australia tomorrow morning to see my little boys 

Thanks to everybody who’s come to watch me this summer 🥰",example,2022-08-28 11:15:33+00:00
"Good to see me old mates Norman and Coxy too. 

Such a lovely crowd. Let’s do it again sometime https://t.co/pDggDAwwcX",example,2022-08-22 13:42:56+00:00
"Camp Bestival North on Saturday 

Magical family vibes. Only a week to go now til I see my little boys. Been 7 weeks apart 💔 but Daddy gotta work https://t.co/ieRYBy8Woh",example,2022-08-22 13:40:22+00:00
@harks_18 This just edged it in terms of pure entertainment,example,2022-08-14 17:23:49+00:00
"‘NOPE’
Arty but with all the cheap thrills you’d expect, popcorn fodder with added provocation, Spielberg styled blockbuster with a sprinkle of brainfood. Believe the hype. Absolutely bonkers, beautiful, hilarious, captivating film. 90 Popcorns 🍿 https://t.co/yqPNlQcPY3",example,2022-08-14 17:20:56+00:00
@davemccarthy369 @CampBestival Here you go mate x https://t.co/V2J3jZLqba,example,2022-08-01 22:23:09+00:00
More 📷 action from Loosefest on Saturday https://t.co/JEkb5e23uH,example,2022-08-01 20:34:59+00:00
Thanks for having me mate https://t.co/qT1JqJh4fG,example,2022-08-01 20:34:27+00:00
💙💙💙 https://t.co/XoZDx84rvi,example,2022-08-01 20:32:55+00:00
My pleasure. Beautiful day. Beautiful crowd. Beautiful festival @CampBestival 💙 https://t.co/N89bqJL49m,example,2022-08-01 20:32:33+00:00
"LOOSEFEST Newcastle - we had a lovely time on Saturday 

Thanks to all who bounced with us in the rain https://t.co/RpfIaak8uG",example,2022-08-01 20:30:46+00:00
"Another weekend of festivals …
 
Catch me at @loosefest Newcastle Saturday 6:30pm MainStage 

And @CampBestival Dorset Sunday 7:05pm MainStage https://t.co/JQRkkv7lbA",example,2022-07-29 18:01:20+00:00
"RT @example: LATITUDE festival on Saturday 💙🤯

A career highlight for me. Thank you all so much @LatitudeFest https://t.co/FBBrsQpyi2",example,2022-07-26 17:14:25+00:00
"LATITUDE festival on Saturday 💙🤯

A career highlight for me. Thank you all so much @LatitudeFest https://t.co/FBBrsQpyi2",example,2022-07-25 17:09:12+00:00
RT @example: Amazing vibes at @StandonCalling on Friday … Latitude recap coming tomorrow. Thanks to anyone who watched me this weekend. 5 g…,example,2022-07-25 14:24:17+00:00
Amazing vibes at @StandonCalling on Friday … Latitude recap coming tomorrow. Thanks to anyone who watched me this weekend. 5 gigs in 3 days. My legs just about held out https://t.co/lhpDrYy9fL,example,2022-07-25 12:48:07+00:00
"RT @example: GRASSHOPPER sat on the decks and watched my entire set last night … for free of course. 

He bounced soon as we finished so I…",example,2022-07-20 19:52:29+00:00
"Electric Bay in Torquay on Sunday just gone. Absolute zone 

Thanks to everyone who watched https://t.co/8J0UxJLLeP",example,2022-07-20 13:05:37+00:00
"Wicked hangs backstage with Nathan Dawe, French The Kid and Ben Nicky. And a pleasure to share the stage with my bro Local performing ‘Dot Dot Dot’ https://t.co/yc2M2b2MKT",example,2022-07-17 14:27:00+00:00
"Colour Clash 🏴󠁧󠁢󠁷󠁬󠁳󠁿 yesterday 🎉

📷 @callumshots https://t.co/XFyw5iIFjW",example,2022-07-17 14:24:02+00:00
RT @example: The full official video for ‘ORIGINAL’ is on YouTube now https://t.co/gGm2AE0ukV https://t.co/4Bu4T32NeQ,example,2022-07-16 16:01:25+00:00
"RT @example: More action from @TRNSMTfest 

I work my arse off every day to still be able to do this for a living, so I don’t feel lucky. B…",example,2022-07-16 16:01:10+00:00
@tourandting 😩🤯,example,2022-07-16 15:58:20+00:00
Some Tokyo specials https://t.co/LNGfDEnmr5,example,2022-07-16 15:31:57+00:00
"On me way to Colour Clash in Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿 right now … then it’s Electric Bay festival tomorrow in Torquay with a load of DnB acts 

Man I love festival season. Got 5 gigs in 3 days next weekend 🥵🏆 https://t.co/HNy04D034x",example,2022-07-16 14:58:29+00:00
"GRASSHOPPER sat on the decks and watched my entire set last night … for free of course. 

He bounced soon as we finished so I couldn’t get a selfie https://t.co/O7zKtAwvEP",example,2022-07-16 14:56:16+00:00
@rorysullyyy1 “The show” ???,example,2022-07-16 14:52:08+00:00
More backstage action from Beni last night https://t.co/zTkgJKTn9I,example,2022-07-16 14:51:21+00:00
"Benicàssim last night. Magical @fiberfib 💙

📷 @callumshots https://t.co/0VOrogFltx",example,2022-07-16 14:48:38+00:00
RT @example: This was A LOT of fun. Please have a listen …,example,2022-07-16 14:46:11+00:00
This was A LOT of fun. Please have a listen … https://t.co/UKviesGjRS,example,2022-07-16 00:01:41+00:00
